"","water_date","PRCP","prcp_log"
"1",2006-12-22,0.09,0.089878940743947
"2",2006-12-23,0.75,0.693147180559945
"3",2006-12-24,1.63,1.26477687658916
"4",2006-12-25,0.06,0.059964058195334
"5",2006-12-26,0.36,0.3526453302527
"6",2006-12-27,0.63,0.594378911302243
"7",2006-12-28,0.76,0.701127987752585
"8",2006-12-29,0.43,0.417743499441563
"9",2006-12-30,0.13,0.12963659033633
"10",2006-12-31,0,0
"11",2007-10-01,0,0
"12",2007-10-02,0.02,0.0199986669066095
"13",2007-10-03,0.31,0.305238019925228
"14",2007-10-04,1.8,1.35044074027497
"15",2007-10-05,0.03,0.0299955018215242
"16",2007-10-06,0.19,0.188875014576307
"17",2007-10-07,0.25,0.247466461547263
"18",2007-10-08,0.01,0.0099998333408328
"19",2007-10-09,0,0
"20",2007-10-10,0.52,0.499028444456403
"21",2007-10-11,0.01,0.0099998333408328
"22",2007-10-12,0,0
"23",2007-10-13,0,0
"24",2007-10-14,0,0
"25",2007-10-15,0,0
"26",2007-10-16,0.12,0.119713850398777
"27",2007-10-17,0.03,0.0299955018215242
"28",2007-10-18,0,0
"29",2007-10-19,0,0
"30",2007-10-20,0,0
"31",2007-10-21,0.13,0.12963659033633
"32",2007-10-22,0,0
"33",2007-10-23,0,0
"34",2007-10-24,0,0
"35",2007-10-25,0,0
"36",2007-10-26,0,0
"37",2007-10-27,0,0
"38",2007-10-28,0,0
"39",2007-10-29,0,0
"40",2007-10-30,0,0
"41",2007-10-31,0.2,0.198690110349241
"42",2007-11-01,0.13,0.12963659033633
"43",2007-11-02,1.02,0.895445249389719
"44",2007-11-03,0.71,0.660839640789586
"45",2007-11-04,1.38,1.12630204157766
"46",2007-11-05,0.38,0.37140239146356
"47",2007-11-06,1.18,1.00310620783867
"48",2007-11-07,0.16,0.159325079865316
"49",2007-11-08,0.3,0.295673047563422
"50",2007-11-09,0.67,0.627916484501713
"51",2007-11-10,0.3,0.295673047563422
"52",2007-11-11,0.59,0.560231076410928
"53",2007-11-12,1.31,1.08453346717869
"54",2007-11-13,0.75,0.693147180559945
"55",2007-11-14,0.02,0.0199986669066095
"56",2007-11-15,0,0
"57",2007-11-16,0,0
"58",2007-11-17,0,0
"59",2007-11-18,0.01,0.0099998333408328
"60",2007-11-19,0.02,0.0199986669066095
"61",2007-11-20,0.51,0.490138161436235
"62",2007-11-21,0.12,0.119713850398777
"63",2007-11-22,0.24,0.2377537491524
"64",2007-11-23,0.02,0.0199986669066095
"65",2007-11-24,0,0
"66",2007-11-25,0,0
"67",2007-11-26,0,0
"68",2007-11-27,0,0
"69",2007-11-30,0,0
"70",2007-12-01,0.01,0.0099998333408328
"71",2007-12-02,0.59,0.560231076410928
"72",2007-12-03,0.03,0.0299955018215242
"73",2007-12-04,0,0
"74",2007-12-05,0,0
"75",2007-12-06,0,0
"76",2007-12-07,0,0
"77",2007-12-08,0.16,0.159325079865316
"78",2007-12-09,0.02,0.0199986669066095
"79",2007-12-10,0,0
"80",2007-12-11,0,0
"81",2007-12-12,0,0
"82",2007-12-13,0.85,0.771237433359808
"83",2007-12-14,0.29,0.286081714574482
"84",2007-12-15,0.85,0.771237433359808
"85",2007-12-16,0,0
"86",2007-12-17,0,0
"87",2007-12-18,0.23,0.228018971902582
"88",2007-12-19,0.23,0.228018971902582
"89",2007-12-20,0.22,0.218262907439882
"90",2007-12-21,0.57,0.542930505457726
"91",2007-12-22,0.95,0.845572697039727
"92",2007-12-23,0.28,0.276464691365661
"93",2007-12-24,0.05,0.0499791900693487
"94",2007-12-25,0.53,0.507882413310767
"95",2007-12-26,0.39,0.380734623641985
"96",2007-12-27,0.87,0.786401177301284
"97",2007-12-28,1.38,1.12630204157766
"98",2007-12-29,0.71,0.660839640789586
"99",2007-12-30,0.04,0.0399893410060271
"100",2007-12-31,0.19,0.188875014576307
"101",2008-01-01,0,0
"102",2008-01-02,0.54,0.516699823789038
"103",2008-01-03,0.37,0.362039121240971
"104",2008-01-04,1.34,1.10260589847628
"105",2008-01-05,0.67,0.627916484501713
"106",2008-01-06,0.9,0.808866935652783
"107",2008-01-07,0.78,0.716974594095005
"108",2008-01-08,0.79,0.724840509128528
"109",2008-01-09,0.27,0.266822666909941
"110",2008-01-10,0.48,0.463252120207431
"111",2008-01-11,0.18,0.179041904333766
"112",2008-01-12,0.47,0.454219358912955
"113",2008-01-13,0.05,0.0499791900693487
"114",2008-01-14,0.01,0.0099998333408328
"115",2008-01-15,0.51,0.490138161436235
"116",2008-01-16,0.04,0.0399893410060271
"117",2008-01-17,0,0
"118",2008-01-18,0,0
"119",2008-01-19,0,0
"120",2008-01-20,0.34,0.333768351645882
"121",2008-01-21,0.15,0.149443120184958
"122",2008-01-22,0.01,0.0099998333408328
"123",2008-01-23,0,0
"124",2008-01-24,0,0
"125",2008-01-25,0.12,0.119713850398777
"126",2008-01-26,0,0
"127",2008-01-27,1.86,1.37921347655502
"128",2008-01-28,0.42,0.408540207829808
"129",2008-01-29,1,0.881373587019543
"130",2008-01-30,0.35,0.343221555085944
"131",2008-01-31,1.04,0.909376928017845
"132",2008-02-01,0.22,0.218262907439882
"133",2008-02-02,1.37,1.12042031644358
"134",2008-02-03,1.05,0.916290731874155
"135",2008-02-04,0.3,0.295673047563422
"136",2008-02-05,0.09,0.089878940743947
"137",2008-02-06,0.26,0.257156348513015
"138",2008-02-07,0.69,0.644455004844934
"139",2008-02-08,0.13,0.12963659033633
"140",2008-02-09,0.12,0.119713850398777
"141",2008-02-10,0.06,0.059964058195334
"142",2008-02-11,0.09,0.089878940743947
